name,readit,writeit,notes
Catherine,"	ka"," te ri n	katerin=", -
Abby,abi,Abi, -
Alan,alan,"	Alan+", -
Alvin,"	albin","	Al=bin=", -
Arthur,"	a"," r tu r	Ar=tur=", -
Ben,"	ben","	ben=", -
Bob,"	bab","	bab=", -
Brandon,"	brandon","	b=ran=don=", -
Carlo,"	karlo","	kar=lo", -
Christine,"	kristin","	k=ris=tin=", -
Daniel,"	daniyel","	daniyel=", -
Donald,"	donald","	donal=d=", -
Drake,"	dreyk","	d=rey=k=", -
Edward,"	eduward","	Eduwar=d=", -
Elmer,"	elmer","	El=mer=", -
Ernie,"	erni","	Er=ni", -
Flora,"	plora","	p=lora", -
Frank,"	prank","	p=ran=k=", -
Fred,"	pred","	p=red=", -
Gina,"	dyina","	d=yina", -
Giselle,"	dyisel","	d=yisel=", -
Gregory,"	gregori","	g=regori", -
Hailey,"	heyli","	hey=li", -
Harrold,"	harold","	harol=d=", -
Henry,"	henri","	hen=ri", -
Ida,"	ida","	Ida", -
Ingrid,"	inggrid","	IN=g=rid=", -
Jack,"	dyak","	d=yak=", -
Jed,"	d"," ye d	D=YeD=", -
Jedder,diyeder,diyeder=, -
John,"	d"," yan	d=yan=", -
Joy,"	dyoy","	d=yoy=", -
Julia,"	dyuliya","	diyuliya", -
Karl,"	karl","	KaR+L+", -
Kat,"	ka"," t	Kat+", -
Katrina,"	katrina","	kat=rina", -
KeN,"	ken","	ken=", -
Kit,"	kit","	kit=", -
Lisa,"	lisa","	lisa", -
Lizelle,"	lisel","	lisel=", -
Loren,"	loren","	loren=", -
Luke,"	luk","	luk=", -
Mark,"	mark","	mar=k=", -
May,"	mey","	mey=", -
Michelle,"	misiyel","	misiyel=", -
Mimi,"	mimi","	mimi", -
Nancy,"	nansi","	nan=si", -
Nelly,"	neli","	neli", -
Nina,"	nina","	nina", -
Nora,"	nora","	nora", -
Norman,"	norman","	nor=man=", -
Odette,"	odet","	Odet=", -
Olga,"	olga","	Ol=ga", -
Olivia,"	olibiya","	Olibiya", -
Ophelia,"	opiliya","	Opiliya", -
Oscar,"	oskar","	Os=kar=", -
Paul,"	pol","	pol=", -
Paula,"	pola","	pola", -
Penelope,"	penelopi","	penelopi", -
Penny,"	peni","	peni", -
Perla,"	perla","	per=la", -
Peter,"	piter","	piter=", -
Rachelle,"	reysiyel","	rey=siyel=", -
Robert,"	robert","	rober=t=", -
Sandy,"	sandi","	sandi", -
Sarah,"	sara","	sara", -
